iter	RMSE
0	8.914939381
1	8.416903183
2	7.952869818
3	7.536686581
4	7.168099286
5	6.836825626
6	6.548205326
7	6.284907631
8	6.055796647
9	5.851645942
10	5.672084346
11	5.515014386
12	5.371283703
13	5.248390253
14	5.137967003
15	5.0421661
16	4.956086039
17	4.878038775
18	4.80756617
19	4.744784956
20	4.686979915
21	4.636097889
22	4.594074983
23	4.554943821
24	4.521637006
25	4.491509082
26	4.463097241
27	4.436210934
28	4.412000867
29	4.393235109
30	4.370666089
31	4.352637257
32	4.333718725
33	4.317337464
34	4.303060219
35	4.287542145
36	4.27512739
37	4.262613678
38	4.253393678
39	4.243754524
40	4.234243512
41	4.222782721
42	4.212460626
43	4.204666269
44	4.193513689
45	4.186501357
46	4.178387156
47	4.171350121
48	4.162159083
49	4.153808378
50	4.147165109
51	4.137668646
52	4.132784542
53	4.128105256
54	4.119338158
55	4.110102796
56	4.104288887
57	4.098445979
58	4.09252365
59	4.087401575
60	4.083248945
61	4.079816708
62	4.075425925
63	4.071770521
64	4.067193686
65	4.063045509
66	4.058369551
67	4.053085595
68	4.049666444
69	4.047137216
70	4.038206193
71	4.035143199
72	4.028789125
73	4.025013665
74	4.021017484
75	4.017349101
76	4.013411737
77	4.007308295
78	4.005048976
79	4.003036945
80	4.000300199
81	3.996697149
82	3.992307943
83	3.98802878
84	3.982896316
85	3.979606324
86	3.973200355
87	3.969702397
88	3.965873463
89	3.961517011
90	3.958791741
91	3.953052437
92	3.9488577
93	3.945958872
94	3.942343305
95	3.939572723
96	3.936263113
97	3.933847196
98	3.931805285
99	3.928350827
100	3.924977322
101	3.921949776
102	3.91697589
103	3.913693541
104	3.910845207
105	3.907817552
106	3.906102672
107	3.900935883
108	3.898897009
109	3.894103083
110	3.891485242
111	3.886381211
112	3.884352903
113	3.880846244
114	3.875458523
115	3.873249857
116	3.871882062
117	3.868835423
118	3.866496507
119	3.864531495
120	3.862184811
121	3.859599793
122	3.856001742
123	3.853086384
124	3.850723237
125	3.845018991
126	3.842016914
127	3.839190488
128	3.837707855
129	3.835243244
130	3.832862604
131	3.830217532
132	3.827919321
133	3.825768253
134	3.822691554
135	3.81969337
136	3.816082585
137	3.813362789
138	3.810728209
139	3.808349548
140	3.804968272
141	3.80202159
142	3.79917602
143	3.796792196
144	3.793191382
145	3.791048073
146	3.788842479
147	3.787356047
148	3.785165986
149	3.783081722
150	3.780637454
151	3.777774616
152	3.775161393
153	3.772892618
154	3.770613488
155	3.768676855
156	3.766468112
157	3.763875765
158	3.761842658
159	3.758959618
160	3.755801375
161	3.752532509
162	3.751139541
163	3.748624532
164	3.746590919
165	3.743576899
166	3.741319244
167	3.738908103
168	3.735484361
169	3.733603989
170	3.731698956
171	3.729218713
172	3.726851089
173	3.724407862
174	3.722434011
175	3.718845994
176	3.716943441
177	3.71523918
178	3.712726447
179	3.710556432
180	3.708819169
181	3.707281606
182	3.705605945
183	3.703699902
184	3.701695521
185	3.699760163
186	3.697425696
187	3.694735938
188	3.691926036
189	3.688937347
190	3.686437242
191	3.684232992
192	3.683104695
193	3.680878537
194	3.679018305
195	3.677030899
196	3.675322911
197	3.673358432
198	3.670760382
199	3.668400389
200	3.665497635
201	3.663781606
202	3.661209719
203	3.658701677
204	3.656989717
205	3.655501124
206	3.654399252
207	3.652435122
208	3.650018711
209	3.648588969
210	3.647517458
211	3.64620334
212	3.644103553
213	3.64226704
214	3.640294646
215	3.637579546
216	3.635721442
217	3.634037758
218	3.631169537
219	3.6287005
220	3.626848422
221	3.62468282
222	3.622528706
223	3.620249847
224	3.61861889
225	3.616860627
226	3.615634168
227	3.61395871
228	3.612849929
229	3.611683208
230	3.61045025
231	3.60888214
232	3.607418914
233	3.605750995
234	3.604186974
235	3.602519973
236	3.600980211
237	3.59846439
238	3.595265748
239	3.593999141
240	3.591703337
241	3.590511968
242	3.588564439
243	3.586258591
244	3.584827036
245	3.583293456
246	3.581785862
247	3.580167481
248	3.578299862
249	3.577472179
250	3.575508556
251	3.573146792
252	3.571286517
253	3.570015321
254	3.567309023
255	3.565557988
256	3.563918353
257	3.562760821
258	3.561173041
259	3.55959056
260	3.557655037
261	3.556448003
262	3.554324073
263	3.552868882
264	3.551539355
265	3.549474443
266	3.547603417
