iter	Passed	Remaining
0	7	7649
1	13	6614
2	18	6303
3	24	6023
4	30	6026
5	40	6722
6	45	6519
7	51	6362
8	56	6242
9	62	6140
10	67	6047
11	72	5977
12	77	5911
13	83	5869
14	88	5827
15	94	5804
16	99	5777
17	105	5751
18	110	5714
19	116	5703
20	121	5671
21	127	5646
22	134	5726
23	140	5717
24	145	5692
25	151	5670
26	156	5636
27	161	5608
28	166	5585
29	172	5569
30	177	5559
31	183	5540
32	188	5518
33	193	5496
34	198	5479
35	203	5458
36	208	5436
37	214	5432
38	220	5428
39	225	5413
40	230	5397
41	235	5380
42	241	5366
43	246	5349
44	251	5336
45	256	5326
46	261	5312
47	267	5301
48	272	5294
49	278	5289
50	283	5275
51	288	5265
52	294	5254
53	299	5245
54	304	5234
55	310	5231
56	315	5217
57	320	5205
58	325	5194
59	330	5184
60	336	5173
61	341	5166
62	347	5161
63	352	5156
64	357	5148
65	363	5143
66	368	5133
67	373	5121
68	378	5112
69	384	5103
70	389	5093
71	394	5084
72	399	5077
73	405	5068
74	410	5066
75	416	5058
76	421	5049
77	426	5040
78	431	5031
79	437	5028
80	442	5020
81	447	5011
82	452	5003
83	457	4994
84	463	4986
85	468	4976
86	473	4967
87	478	4960
88	484	4954
89	489	4946
90	494	4937
91	499	4930
92	504	4922
93	510	4922
94	516	4917
95	521	4915
96	527	4907
97	532	4899
98	537	4895
99	543	4887
100	548	4882
101	553	4874
102	559	4870
103	566	4882
104	572	4882
105	578	4880
106	584	4876
107	589	4867
108	594	4861
109	600	4855
110	605	4849
111	610	4842
112	615	4834
113	621	4827
114	626	4821
115	632	4819
116	637	4813
117	643	4809
118	648	4803
119	654	4797
120	659	4792
121	664	4784
122	669	4777
123	675	4769
124	680	4762
125	685	4757
126	691	4750
127	696	4743
128	702	4745
129	708	4740
130	713	4732
131	718	4725
132	723	4717
133	728	4711
134	734	4704
135	739	4697
136	744	4690
137	749	4683
138	755	4676
139	760	4668
140	765	4665
141	771	4662
142	776	4656
143	783	4657
144	789	4656
145	794	4649
146	800	4645
147	805	4637
148	810	4630
149	816	4624
150	821	4617
151	826	4610
152	832	4608
153	837	4601
154	842	4593
155	847	4586
156	853	4581
157	858	4574
158	863	4567
159	869	4565
160	874	4559
161	880	4553
162	885	4547
163	890	4541
164	896	4534
165	901	4529
166	906	4522
167	912	4516
168	917	4510
169	922	4503
170	927	4497
171	933	4493
172	938	4487
173	943	4480
174	949	4473
175	954	4468
176	959	4461
177	965	4457
178	970	4452
179	976	4446
180	981	4440
181	986	4434
182	991	4428
183	997	4424
184	1003	4418
185	1008	4412
186	1017	4422
187	1023	4422
188	1029	4415
189	1034	4409
190	1039	4402
191	1044	4396
192	1050	4390
193	1055	4384
194	1060	4376
195	1065	4370
196	1070	4364
197	1076	4358
198	1081	4353
199	1086	4347
200	1092	4341
201	1097	4337
202	1102	4330
203	1107	4323
204	1113	4316
205	1118	4309
206	1123	4302
207	1128	4296
208	1133	4290
209	1138	4283
210	1144	4278
211	1149	4272
212	1154	4266
213	1160	4260
214	1165	4254
215	1170	4248
216	1175	4242
217	1181	4239
218	1186	4232
219	1192	4227
220	1197	4221
221	1202	4215
222	1208	4211
223	1215	4210
224	1221	4207
225	1226	4201
226	1231	4195
227	1237	4189
228	1242	4182
229	1247	4176
230	1252	4170
231	1258	4166
232	1263	4160
233	1269	4155
234	1274	4148
235	1279	4142
236	1284	4135
237	1290	4130
238	1295	4124
239	1300	4117
240	1305	4111
241	1310	4106
242	1316	4100
243	1321	4094
244	1326	4087
245	1331	4082
246	1337	4076
247	1342	4070
248	1347	4064
249	1352	4058
250	1358	4052
251	1363	4045
252	1368	4040
253	1373	4034
254	1378	4027
255	1383	4022
256	1389	4017
257	1394	4011
258	1399	4004
259	1405	3999
260	1410	3993
261	1415	3986
262	1420	3980
263	1425	3974
264	1430	3968
265	1435	3962
266	1441	3956
267	1446	3951
268	1452	3945
269	1457	3941
270	1464	3938
271	1469	3934
272	1476	3930
273	1481	3925
274	1486	3920
275	1492	3913
276	1497	3907
277	1502	3902
278	1507	3896
279	1512	3890
280	1518	3884
281	1523	3878
282	1528	3872
283	1533	3866
284	1538	3860
285	1544	3855
286	1549	3848
287	1554	3843
288	1559	3837
289	1565	3831
290	1570	3825
291	1575	3819
292	1580	3814
293	1586	3808
294	1591	3802
295	1596	3796
296	1601	3790
297	1606	3785
298	1612	3780
299	1617	3774
300	1622	3768
301	1627	3762
302	1633	3756
303	1638	3751
304	1643	3745
305	1649	3740
306	1654	3735
307	1659	3729
308	1665	3723
309	1670	3717
310	1675	3712
311	1681	3707
312	1686	3701
313	1691	3695
314	1696	3690
315	1702	3684
316	1707	3679
317	1713	3673
318	1718	3668
319	1724	3663
320	1730	3660
321	1735	3654
322	1740	3648
323	1745	3642
324	1751	3636
325	1756	3632
326	1762	3626
327	1767	3620
328	1772	3614
329	1777	3609
330	1783	3605
331	1788	3599
332	1794	3594
333	1799	3588
334	1804	3582
335	1809	3576
336	1815	3570
337	1820	3564
338	1825	3559
339	1830	3553
340	1835	3547
341	1840	3541
342	1846	3535
343	1851	3530
344	1856	3524
345	1861	3518
346	1866	3512
347	1872	3507
348	1877	3501
349	1882	3496
350	1887	3490
351	1893	3485
352	1898	3480
353	1903	3474
354	1909	3468
355	1914	3463
356	1920	3458
357	1925	3452
358	1930	3447
359	1935	3441
360	1941	3435
361	1946	3430
362	1951	3424
363	1956	3418
364	1961	3413
365	1967	3407
366	1972	3402
367	1978	3397
368	1983	3392
369	1988	3386
370	1998	3388
371	2004	3384
372	2010	3378
373	2015	3373
374	2020	3367
375	2025	3361
376	2031	3357
377	2036	3351
378	2042	3345
379	2047	3340
380	2053	3336
381	2058	3330
382	2064	3325
383	2069	3319
384	2074	3314
385	2080	3308
386	2085	3303
387	2091	3298
388	2096	3292
389	2101	3286
390	2106	3281
391	2112	3276
392	2117	3270
393	2122	3264
394	2128	3259
395	2133	3253
396	2138	3248
397	2143	3242
398	2148	3236
399	2154	3231
400	2159	3225
401	2164	3219
402	2170	3214
403	2175	3209
404	2180	3203
405	2185	3197
406	2191	3192
407	2196	3186
408	2201	3181
409	2206	3175
410	2211	3169
411	2217	3164
412	2222	3158
413	2227	3153
414	2233	3147
415	2238	3142
416	2243	3136
417	2248	3131
418	2254	3125
419	2259	3120
420	2264	3114
421	2270	3109
422	2275	3103
423	2280	3098
424	2285	3092
425	2291	3086
426	2296	3081
427	2301	3076
428	2307	3070
429	2312	3065
430	2317	3059
431	2323	3054
432	2329	3049
433	2334	3044
434	2339	3038
435	2345	3033
436	2350	3027
437	2355	3022
438	2360	3016
439	2366	3012
440	2371	3006
441	2377	3000
442	2382	2995
443	2387	2989
444	2392	2983
445	2397	2978
446	2403	2973
447	2409	2968
448	2414	2962
449	2419	2957
450	2427	2954
451	2432	2949
452	2438	2945
453	2444	2939
454	2449	2934
455	2455	2929
456	2460	2924
457	2466	2919
458	2472	2913
459	2477	2908
460	2483	2903
461	2488	2897
462	2493	2892
463	2498	2886
464	2503	2880
465	2508	2874
466	2514	2869
467	2519	2863
468	2524	2858
469	2529	2852
470	2534	2846
471	2540	2841
472	2545	2836
473	2550	2830
474	2555	2824
475	2560	2819
476	2566	2813
477	2571	2808
478	2576	2802
479	2582	2797
480	2587	2791
481	2592	2786
482	2597	2780
483	2603	2775
484	2608	2769
485	2613	2764
486	2618	2758
487	2624	2753
488	2629	2747
489	2635	2742
490	2641	2737
491	2646	2732
492	2651	2726
493	2656	2721
494	2662	2716
495	2667	2710
496	2673	2705
497	2678	2700
498	2683	2694
499	2689	2689
500	2694	2683
501	2699	2678
502	2705	2672
503	2710	2667
504	2715	2661
505	2721	2656
506	2726	2651
507	2731	2645
508	2737	2640
509	2742	2634
510	2747	2629
511	2752	2623
512	2757	2618
513	2763	2612
514	2768	2607
515	2773	2601
516	2779	2596
517	2784	2591
518	2790	2586
519	2795	2580
520	2800	2575
521	2806	2569
522	2811	2564
523	2816	2558
524	2822	2553
525	2827	2547
526	2832	2542
527	2837	2536
528	2842	2531
529	2848	2525
530	2853	2520
531	2858	2514
532	2864	2509
533	2869	2504
534	2874	2498
535	2880	2493
536	2885	2487
537	2891	2482
538	2896	2477
539	2902	2472
540	2907	2467
541	2913	2461
542	2918	2456
543	2923	2450
544	2928	2445
545	2933	2439
546	2939	2434
547	2944	2428
548	2949	2423
549	2954	2417
550	2960	2412
551	2965	2407
552	2973	2403
553	2981	2399
554	2986	2394
555	2991	2388
556	2997	2383
557	3002	2378
558	3007	2372
559	3013	2367
560	3018	2362
561	3024	2356
562	3029	2351
563	3034	2345
564	3040	2340
565	3045	2335
566	3050	2329
567	3055	2324
568	3061	2319
569	3066	2313
570	3071	2307
571	3077	2302
572	3082	2296
573	3087	2291
574	3092	2286
575	3098	2281
576	3103	2275
577	3109	2270
578	3114	2264
579	3120	2259
580	3125	2253
581	3130	2248
582	3135	2242
583	3140	2237
584	3146	2231
585	3151	2226
586	3156	2221
587	3162	2215
588	3167	2210
589	3172	2204
590	3177	2199
591	3183	2193
592	3188	2188
593	3193	2182
594	3199	2177
595	3204	2172
596	3210	2167
597	3215	2161
598	3220	2156
599	3226	2150
600	3231	2145
601	3237	2140
602	3242	2134
603	3248	2129
604	3253	2124
605	3259	2119
606	3264	2113
607	3270	2108
608	3275	2103
609	3281	2097
610	3286	2092
611	3292	2087
612	3297	2081
613	3302	2076
614	3307	2070
615	3313	2065
616	3318	2059
617	3323	2054
618	3329	2049
619	3334	2043
620	3339	2038
621	3345	2032
622	3350	2027
623	3356	2022
624	3361	2017
625	3367	2011
626	3374	2007
627	3379	2001
628	3384	1996
629	3390	1991
630	3396	1986
631	3401	1980
632	3407	1975
633	3412	1969
634	3417	1964
635	3423	1959
636	3428	1953
637	3435	1949
638	3440	1943
639	3445	1938
640	3451	1933
641	3456	1927
642	3462	1922
643	3467	1917
644	3473	1911
645	3478	1906
646	3484	1901
647	3489	1895
648	3495	1890
649	3501	1885
650	3506	1879
651	3511	1874
652	3516	1868
653	3523	1864
654	3529	1859
655	3536	1854
656	3541	1849
657	3547	1843
658	3552	1838
659	3558	1832
660	3563	1827
661	3568	1822
662	3573	1816
663	3579	1811
664	3585	1806
665	3590	1800
666	3595	1795
667	3601	1789
668	3607	1784
669	3612	1779
670	3618	1774
671	3623	1768
672	3628	1763
673	3634	1757
674	3639	1752
675	3644	1747
676	3650	1741
677	3655	1736
678	3661	1730
679	3666	1725
680	3671	1719
681	3676	1714
682	3682	1709
683	3689	1704
684	3695	1699
685	3701	1694
686	3709	1690
687	3715	1684
688	3721	1679
689	3726	1674
690	3732	1669
691	3738	1663
692	3743	1658
693	3748	1652
694	3754	1647
695	3759	1642
696	3765	1636
697	3770	1631
698	3776	1626
699	3782	1620
700	3788	1615
701	3795	1611
702	3801	1605
703	3806	1600
704	3812	1595
705	3817	1589
706	3823	1584
707	3829	1579
708	3835	1574
709	3841	1569
710	3848	1564
711	3856	1559
712	3863	1555
713	3874	1551
714	3881	1546
715	3887	1541
716	3894	1537
717	3901	1532
718	3908	1527
719	3915	1522
720	3921	1517
721	3928	1512
722	3936	1508
723	3945	1504
724	3955	1500
725	3964	1496
726	3971	1491
727	3976	1485
728	3982	1480
729	3987	1474
730	3993	1469
731	3998	1464
732	4004	1458
733	4009	1453
734	4015	1447
735	4020	1442
736	4026	1436
737	4031	1431
738	4037	1425
739	4042	1420
740	4047	1414
741	4053	1409
742	4058	1403
743	4063	1398
744	4069	1392
745	4074	1387
746	4079	1381
747	4085	1376
748	4090	1370
749	4096	1365
750	4101	1359
751	4106	1354
752	4111	1348
753	4117	1343
754	4123	1338
755	4129	1332
756	4134	1327
757	4140	1321
758	4145	1316
759	4150	1310
760	4155	1305
761	4161	1299
762	4166	1294
763	4171	1288
764	4177	1283
765	4182	1277
766	4188	1272
767	4193	1266
768	4198	1261
769	4204	1255
770	4209	1250
771	4214	1244
772	4219	1239
773	4225	1233
774	4230	1228
775	4235	1222
776	4241	1217
777	4246	1211
778	4252	1206
779	4257	1200
780	4263	1195
781	4267	1189
782	4273	1184
783	4278	1178
784	4283	1173
785	4289	1167
786	4294	1162
787	4300	1156
788	4305	1151
789	4310	1145
790	4315	1140
791	4320	1134
792	4326	1129
793	4331	1123
794	4337	1118
795	4342	1112
796	4347	1107
797	4353	1101
798	4358	1096
799	4363	1090
800	4369	1085
801	4374	1079
802	4379	1074
803	4384	1068
804	4390	1063
805	4395	1057
806	4400	1052
807	4406	1047
808	4411	1041
809	4416	1036
810	4422	1030
811	4427	1025
812	4433	1019
813	4438	1014
814	4443	1008
815	4448	1003
816	4453	997
817	4459	992
818	4464	986
819	4471	981
820	4477	976
821	4484	971
822	4491	965
823	4497	960
824	4505	955
825	4512	950
826	4519	945
827	4526	940
828	4533	935
829	4539	929
830	4546	924
831	4553	919
832	4560	914
833	4567	909
834	4573	903
835	4580	898
836	4586	893
837	4594	888
838	4600	882
839	4607	877
840	4614	872
841	4620	867
842	4627	861
843	4634	856
844	4641	851
845	4648	846
846	4655	840
847	4661	835
848	4669	830
849	4676	825
850	4682	819
851	4689	814
