iter	RMSE
0	8.606075518
1	8.290998337
2	8.002577693
3	7.718572303
4	7.465883152
5	7.230048362
6	7.007688674
7	6.792070083
8	6.583625604
9	6.391725068
10	6.219301733
11	6.058520009
12	5.903809362
13	5.759254733
14	5.63206808
15	5.509399984
16	5.388799669
17	5.285553655
18	5.191096055
19	5.101712694
20	5.013031941
21	4.933644048
22	4.860585847
23	4.794659474
24	4.730230575
25	4.673901419
26	4.623303926
27	4.573017368
28	4.526897973
29	4.486962038
30	4.448096752
31	4.41220037
32	4.380045853
33	4.345427573
34	4.316279629
35	4.283521397
36	4.252009367
37	4.228173054
38	4.205305017
39	4.182381442
40	4.160787422
41	4.143710052
42	4.120798513
43	4.104570814
44	4.086378775
45	4.071303112
46	4.055060386
47	4.039539317
48	4.026745785
49	4.01141827
50	3.997469688
51	3.984487612
52	3.97546778
53	3.961682494
54	3.949671063
55	3.940832294
56	3.930830453
57	3.918281562
58	3.910257582
59	3.901957377
60	3.893754903
61	3.884401904
62	3.876217692
63	3.868560217
64	3.861704809
65	3.854542357
66	3.850425761
67	3.843023965
68	3.831825708
69	3.82376993
70	3.819898398
71	3.813773447
72	3.806389539
73	3.799064423
74	3.792917869
75	3.788356509
76	3.782233729
77	3.777082775
78	3.763476559
79	3.754348622
80	3.746700877
81	3.740229243
82	3.735175576
83	3.727395612
84	3.719006601
85	3.712867491
86	3.70313335
87	3.695754041
88	3.692517574
89	3.686641031
90	3.68155461
91	3.678397208
92	3.670484823
93	3.663134199
94	3.660100029
95	3.656779615
96	3.652316023
97	3.647418359
98	3.642193874
99	3.638049003
100	3.634629133
101	3.631657947
102	3.627165468
103	3.624047882
104	3.617374464
105	3.613605954
106	3.610824668
107	3.606861202
108	3.604502947
109	3.600852421
110	3.598037141
111	3.592416667
112	3.588818574
113	3.584297398
114	3.580022027
115	3.577111176
116	3.57486882
117	3.572493244
118	3.570508722
119	3.563074454
120	3.559424844
121	3.555944637
122	3.549339176
123	3.545622959
124	3.543693979
125	3.540887258
126	3.533176305
127	3.528611728
128	3.525227602
129	3.522399345
130	3.51824171
131	3.515447247
132	3.512692609
133	3.510244769
134	3.506114643
135	3.503489715
136	3.498143433
137	3.493976103
138	3.489825807
139	3.487157349
140	3.48351766
141	3.480166294
142	3.478155037
143	3.47486046
144	3.467397275
145	3.465215464
146	3.46009311
147	3.456073951
148	3.452755639
149	3.449190265
150	3.441988513
151	3.439610097
152	3.436051553
153	3.433148628
154	3.430756763
155	3.42628599
156	3.42368788
157	3.42126968
158	3.419986109
159	3.417205651
160	3.41411806
161	3.411870198
162	3.40665478
163	3.404071132
164	3.399912739
165	3.396940017
166	3.394017848
167	3.392266392
168	3.389373975
169	3.384013721
170	3.380720574
171	3.378390413
172	3.373397835
173	3.369363082
174	3.367270141
175	3.365006703
176	3.361816799
177	3.357566699
178	3.352696677
179	3.350347716
180	3.34713676
181	3.346255683
182	3.343876667
183	3.341737189
184	3.339491983
185	3.336501917
186	3.333820084
187	3.331142294
188	3.329172598
189	3.325073557
190	3.320850401
191	3.317817024
192	3.31600229
193	3.314016125
194	3.31132954
195	3.309917744
196	3.308592891
197	3.306683228
