iter	Passed	Remaining
0	1	1695
1	2	1464
2	4	1443
3	6	1538
4	8	1628
5	10	1695
6	12	1720
7	13	1727
8	15	1695
9	16	1654
10	18	1629
11	19	1600
12	20	1579
13	22	1581
14	23	1563
15	25	1566
16	26	1555
17	29	1597
18	30	1595
19	32	1588
20	33	1576
21	35	1558
22	36	1544
23	37	1531
24	39	1523
25	40	1520
26	42	1519
27	43	1512
28	44	1503
29	46	1497
30	47	1492
31	49	1484
32	50	1475
33	51	1467
34	52	1460
35	54	1453
36	55	1451
37	57	1445
38	58	1438
39	59	1432
40	60	1424
41	62	1418
42	63	1411
43	64	1406
44	66	1402
45	67	1399
46	68	1394
47	70	1389
48	71	1385
49	72	1380
50	74	1377
51	75	1373
52	76	1369
53	77	1365
54	79	1361
55	80	1358
56	81	1353
57	83	1350
58	84	1346
59	85	1342
60	86	1338
61	88	1336
62	89	1333
63	90	1330
64	92	1327
65	93	1324
66	94	1321
67	96	1318
68	97	1315
69	98	1312
70	100	1309
71	101	1306
72	102	1306
73	104	1302
74	105	1299
75	106	1296
76	107	1293
77	109	1291
78	110	1291
79	112	1288
80	113	1285
81	114	1282
82	115	1280
83	117	1278
84	118	1276
85	119	1274
86	121	1271
87	122	1269
88	123	1267
89	125	1265
90	126	1262
91	127	1260
92	128	1257
93	130	1255
94	131	1253
95	132	1251
96	134	1249
97	135	1246
98	136	1245
99	138	1243
100	139	1240
101	140	1238
102	142	1237
103	143	1235
104	144	1233
105	145	1231
106	147	1228
107	148	1227
108	149	1225
109	151	1224
110	152	1222
111	153	1220
112	155	1219
113	156	1218
114	159	1223
115	160	1221
116	161	1219
117	162	1217
118	164	1216
119	165	1214
120	167	1213
121	169	1220
122	170	1218
123	172	1217
124	173	1216
125	175	1214
126	176	1212
127	177	1210
128	179	1208
129	180	1206
130	181	1206
131	183	1204
132	184	1203
133	185	1201
134	187	1199
135	188	1197
136	189	1195
137	191	1194
138	192	1192
139	193	1190
140	195	1189
141	196	1187
142	197	1185
143	199	1184
144	200	1183
145	202	1182
146	203	1180
147	204	1178
148	206	1177
149	207	1175
150	208	1173
151	209	1171
152	211	1169
153	212	1168
154	213	1166
155	215	1164
156	216	1162
157	217	1160
158	219	1158
159	220	1157
160	221	1155
161	222	1153
162	224	1151
163	225	1149
164	226	1148
165	228	1146
166	229	1144
167	230	1142
168	232	1140
169	233	1139
170	234	1137
171	235	1135
172	237	1133
173	238	1132
174	239	1130
175	241	1128
176	242	1126
177	243	1124
178	244	1122
179	246	1121
180	247	1119
181	248	1116
182	249	1114
183	250	1112
184	252	1111
185	253	1109
186	254	1107
187	256	1105
188	257	1104
189	258	1102
190	259	1100
191	261	1098
192	262	1097
193	263	1095
194	264	1093
195	266	1091
196	267	1090
197	268	1088
198	270	1087
199	271	1085
200	272	1083
201	273	1082
202	275	1080
203	276	1078
204	277	1077
205	279	1075
206	280	1073
207	281	1072
208	282	1070
209	284	1068
210	285	1067
211	286	1065
212	287	1063
213	289	1062
214	290	1060
215	291	1059
216	293	1057
217	294	1055
218	295	1054
219	296	1052
220	298	1051
221	299	1050
222	301	1050
223	302	1049
224	304	1048
225	305	1046
226	306	1045
227	308	1043
228	309	1041
229	310	1040
230	311	1038
231	313	1036
232	314	1035
233	315	1033
234	317	1032
235	318	1030
236	319	1029
237	321	1028
238	322	1026
239	323	1025
240	325	1023
241	326	1022
242	327	1020
243	329	1019
244	330	1017
245	331	1016
246	332	1015
247	334	1013
248	335	1012
249	336	1010
250	338	1009
251	339	1007
252	340	1006
253	342	1004
254	343	1003
255	344	1001
256	346	1000
257	347	998
258	348	997
259	350	996
260	351	994
261	352	993
262	353	991
263	355	990
264	356	988
265	357	987
266	359	985
267	360	984
268	361	982
269	362	980
270	364	979
271	365	977
272	366	976
273	368	975
274	369	973
275	370	972
276	371	970
277	373	969
278	374	967
279	375	966
280	377	964
281	378	963
282	379	961
283	380	960
284	382	958
285	383	957
286	384	956
287	386	954
288	387	953
289	388	952
290	390	950
291	391	949
292	393	948
293	394	946
294	395	945
295	396	944
296	398	942
297	399	941
298	400	939
299	402	938
300	403	936
301	404	935
302	405	933
303	407	932
304	408	931
305	409	929
306	411	928
307	412	926
308	413	925
309	415	923
310	416	922
311	417	921
312	418	919
313	420	918
314	421	916
315	422	915
316	424	914
317	425	912
318	426	911
319	428	909
320	429	908
321	430	907
322	432	905
323	433	904
324	434	902
325	436	901
326	437	900
327	438	898
328	439	897
329	441	895
330	442	894
331	443	892
332	445	891
333	446	889
334	447	888
335	448	886
336	450	885
337	451	884
338	452	882
339	453	881
340	455	879
341	456	878
342	457	876
343	459	875
344	460	873
345	461	872
346	462	870
347	464	869
348	465	868
349	466	867
350	468	865
351	469	864
352	470	862
353	472	861
354	473	860
355	474	858
356	475	857
357	477	855
358	478	854
359	479	852
360	481	851
361	482	850
362	483	849
363	485	847
364	486	846
365	487	845
366	489	844
367	491	843
368	492	841
369	493	840
370	494	839
371	496	837
372	497	836
373	498	834
374	500	833
375	501	832
376	503	831
377	504	830
378	506	829
379	507	828
380	508	826
381	510	825
382	511	824
383	512	822
384	514	821
385	515	819
386	516	818
387	518	817
388	519	815
389	520	814
390	522	813
391	523	811
392	524	810
393	525	808
394	527	807
395	528	806
396	529	804
397	531	803
398	532	802
399	533	800
400	535	799
401	536	797
402	537	796
403	538	795
404	540	793
405	541	792
406	542	790
407	544	789
408	545	788
409	546	786
410	548	785
411	549	783
412	550	782
413	552	781
414	553	780
415	554	778
416	556	777
417	557	775
418	558	774
419	559	773
420	561	771
