iter	RMSE
0	8.97519598
1	8.501402138
2	8.066616922
3	7.663161951
4	7.306018277
5	6.988499185
6	6.705044598
7	6.44943128
8	6.221942082
9	6.024345231
10	5.847518967
11	5.683812051
12	5.540261165
13	5.41244323
14	5.303504134
15	5.205946762
16	5.119899873
17	5.038816464
18	4.971420714
19	4.904807744
20	4.843918171
21	4.79333326
22	4.746488546
23	4.705033118
24	4.664630357
25	4.634437215
26	4.597769686
27	4.564632151
28	4.533928139
29	4.51201623
30	4.486328572
31	4.465749343
32	4.444612027
33	4.429490804
34	4.413426699
35	4.397552171
36	4.382828327
37	4.369781768
38	4.358694843
39	4.342057933
40	4.32824596
41	4.315859877
42	4.302674535
43	4.292053253
44	4.282571104
45	4.275351342
46	4.261472048
47	4.253798371
48	4.245175022
49	4.232320484
50	4.22419622
51	4.212258391
52	4.20590616
53	4.198826155
54	4.193855816
55	4.185434121
56	4.177558586
57	4.172072203
58	4.162221263
59	4.155120772
60	4.150906892
61	4.147061312
62	4.143120229
63	4.138337597
64	4.13134201
65	4.12660645
66	4.121118156
67	4.113090898
68	4.109208005
69	4.105228975
70	4.098966898
71	4.09491601
72	4.089361068
73	4.086195592
74	4.082457161
75	4.079832823
76	4.073151344
77	4.067044051
78	4.063754984
79	4.058304789
80	4.054022441
81	4.050484502
82	4.048269542
83	4.045443403
84	4.039928639
85	4.034534188
86	4.032037965
87	4.027246622
88	4.024174357
89	4.019054574
90	4.016851637
91	4.011795594
92	4.00770877
93	4.005027396
94	4.000717098
95	3.997709213
96	3.994360173
97	3.98957513
98	3.98527527
99	3.97978435
100	3.976390924
101	3.973442624
102	3.970653846
103	3.968358084
104	3.964931206
105	3.961090369
106	3.958513894
107	3.95538865
108	3.95207012
109	3.948847165
110	3.945727939
111	3.940482206
112	3.936971068
113	3.931528465
114	3.926887645
115	3.92496286
116	3.92185451
117	3.918473893
118	3.914245038
119	3.911115442
120	3.908494835
121	3.90475625
122	3.902385312
123	3.899260212
124	3.896082005
125	3.892603605
126	3.889752206
127	3.886384246
128	3.884710775
129	3.880045829
130	3.87694782
131	3.873849389
132	3.869755977
133	3.865633635
134	3.863319166
135	3.861465251
136	3.857481295
137	3.854383338
138	3.850417176
139	3.846038303
140	3.842215049
141	3.839684678
142	3.836998507
143	3.833805892
144	3.830528129
145	3.82773569
146	3.824494023
147	3.82274827
148	3.820009926
149	3.817773276
150	3.815808053
151	3.813825932
152	3.811748857
153	3.807604295
154	3.804757757
155	3.801897167
156	3.798783343
157	3.795810783
158	3.793407091
159	3.790063948
160	3.787814618
161	3.78403304
162	3.780936912
163	3.778932268
164	3.776111211
165	3.773052184
166	3.771374514
167	3.769450271
168	3.767200802
169	3.764358964
170	3.76037419
171	3.757701074
172	3.755834595
173	3.751940637
174	3.749227722
175	3.746859566
176	3.744982514
177	3.743156539
178	3.741225884
179	3.738002167
180	3.735097514
181	3.732790838
182	3.730795147
183	3.728157591
184	3.726517739
185	3.723980183
186	3.722415521
187	3.720197037
188	3.718819157
189	3.716960921
190	3.713735139
191	3.710930831
192	3.708090703
193	3.705120459
194	3.702749727
195	3.699952489
196	3.696967409
197	3.69340415
198	3.690965982
199	3.688895305
200	3.687133244
201	3.684903208
202	3.68241383
203	3.679716159
204	3.677640802
205	3.675505934
206	3.673355534
207	3.671203171
208	3.670035497
209	3.668085414
210	3.66488206
211	3.662784741
212	3.661060869
213	3.658303967
214	3.655975348
215	3.652539016
216	3.649924832
217	3.6479122
218	3.645693628
219	3.643923219
220	3.642509571
221	3.640449389
