iter	Passed	Remaining
0	7	7360
1	12	6173
2	17	5707
3	21	5407
4	26	5245
5	31	5250
6	36	5160
7	41	5121
8	45	5061
9	50	5020
10	55	5011
11	60	4990
12	65	4969
13	70	4937
14	74	4913
15	79	4881
16	83	4857
17	89	4881
18	94	4858
19	99	4863
20	104	4849
21	108	4836
22	113	4815
23	118	4800
24	122	4785
25	127	4789
26	132	4786
27	137	4766
28	142	4754
29	146	4741
30	152	4754
31	159	4817
32	165	4860
33	171	4867
34	176	4859
35	180	4840
36	185	4833
37	190	4816
38	194	4804
39	199	4789
40	204	4771
41	208	4757
42	213	4745
43	217	4729
44	222	4713
45	226	4700
46	231	4688
47	235	4678
48	240	4664
49	245	4655
50	249	4646
51	254	4637
52	258	4624
53	263	4617
54	268	4608
55	272	4596
56	277	4585
57	281	4574
58	286	4576
59	291	4566
60	296	4558
61	302	4571
62	307	4576
63	313	4580
64	318	4586
65	324	4586
66	329	4591
67	335	4591
68	340	4592
69	345	4595
70	351	4596
71	356	4598
72	362	4599
73	367	4603
74	373	4604
75	379	4609
76	386	4638
77	392	4639
78	398	4648
79	405	4660
80	411	4664
81	416	4664
82	428	4731
83	434	4737
84	440	4739
85	445	4739
86	451	4738
87	457	4743
88	463	4740
89	468	4736
90	474	4735
91	480	4738
92	486	4747
93	492	4745
94	498	4744
95	503	4743
96	509	4742
97	514	4739
98	520	4739
99	526	4735
100	531	4726
101	535	4712
102	539	4702
103	544	4689
104	548	4679
105	553	4669
106	558	4658
107	562	4647
108	567	4637
109	571	4627
110	576	4617
111	581	4610
112	586	4601
113	590	4590
114	595	4580
115	599	4571
116	604	4561
117	608	4550
118	613	4541
119	618	4532
120	622	4522
121	627	4512
122	631	4503
123	636	4494
124	641	4487
125	645	4480
126	650	4470
127	654	4460
128	659	4451
129	663	4441
130	668	4431
131	673	4425
132	677	4416
133	682	4408
134	688	4412
135	695	4421
136	700	4415
137	705	4405
138	709	4396
139	714	4387
140	718	4379
141	723	4370
142	727	4362
143	732	4353
144	736	4344
145	741	4336
146	746	4329
147	750	4322
148	755	4313
149	760	4306
150	764	4298
151	769	4290
152	773	4282
153	778	4274
154	782	4266
155	787	4258
156	791	4250
157	796	4243
158	800	4236
159	805	4228
160	809	4220
161	814	4212
162	818	4204
163	823	4196
164	828	4194
165	834	4193
166	839	4187
167	844	4180
168	848	4173
169	853	4165
170	857	4159
171	862	4151
172	867	4146
173	871	4139
174	876	4132
175	881	4124
176	885	4118
177	890	4111
178	894	4103
179	899	4097
180	904	4090
181	908	4083
182	912	4075
183	917	4068
184	921	4061
185	926	4053
186	930	4046
187	935	4039
188	939	4032
189	944	4026
190	949	4019
191	953	4012
192	958	4005
193	962	3998
194	967	3992
195	971	3985
196	976	3979
197	980	3972
198	985	3966
199	990	3960
200	994	3954
201	999	3947
202	1003	3941
203	1008	3934
204	1012	3927
205	1017	3921
206	1021	3914
207	1026	3907
208	1030	3901
209	1035	3894
210	1040	3891
211	1045	3885
212	1049	3878
213	1054	3872
214	1058	3866
215	1063	3860
216	1068	3855
217	1072	3848
218	1079	3850
219	1084	3845
220	1093	3854
221	1099	3853
